ID,stress_score
TEST_0000,0.5049094528642737
TEST_0001,0.8761084791711107
TEST_0002,0.3424475655876049
TEST_0003,0.424805901131059
TEST_0004,0.5099789971394977
TEST_0005,0.5173674389892281
TEST_0006,0.7216957375081102
TEST_0007,0.307022894676201
TEST_0008,0.4339939625234361
TEST_0009,0.9076550211381823
TEST_0010,0.8637541436458537
TEST_0011,0.4448628460925227
TEST_0012,0.6688879933549478
TEST_0013,0.8849297511748433
TEST_0014,0.6738770641447296
TEST_0015,0.6217471894438452
TEST_0016,0.4413868803096937
TEST_0017,0.20073849874604463
TEST_0018,0.3146352326908478
TEST_0019,0.7251372719862752
TEST_0020,0.3794827793673999
TEST_0021,0.6347891811744372
TEST_0022,0.5520576083714765
TEST_0023,0.6090752500725155
TEST_0024,0.4068619850139472
TEST_0025,0.586485934145613
TEST_0026,0.7612941468371143
TEST_0027,0.4511474632828102
TEST_0028,0.6274710997851626
TEST_0029,0.6067605250949818
TEST_0030,0.4759572913200785
TEST_0031,0.3011914970336553
TEST_0032,0.36533863292114727
TEST_0033,0.4533561944877589
TEST_0034,0.5683382844127379
TEST_0035,0.6318131728164432
TEST_0036,0.7286914491468984
TEST_0037,0.2776678619034731
TEST_0038,0.4574529571916437
TEST_0039,0.34538206723488496
TEST_0040,0.37648365630194147
TEST_0041,0.308140547468508
TEST_0042,0.8698716069836341
TEST_0043,0.354794704217717
TEST_0044,0.2475486529788095
TEST_0045,0.5714517884424795
TEST_0046,0.4004869603207493
TEST_0047,0.6171824339663996
TEST_0048,0.30664682868232973
TEST_0049,0.5766645268166732
TEST_0050,0.5922392261871847
TEST_0051,0.8300314492167866
TEST_0052,0.7990045155823979
TEST_0053,0.5268894142131756
TEST_0054,0.32436786132953704
TEST_0055,0.2534111698608845
TEST_0056,0.5813833635510606
TEST_0057,0.6917435176882505
TEST_0058,0.5095540326394173
TEST_0059,0.805444775016076
TEST_0060,0.6539548553086338
TEST_0061,0.39400433819898656
TEST_0062,0.5300392955274905
TEST_0063,0.7551576805216621
TEST_0064,0.6123825451372361
TEST_0065,0.4162862419004806
TEST_0066,0.47186488140216537
TEST_0067,0.2433385109290891
TEST_0068,0.403930790915599
TEST_0069,0.7087793918043953
TEST_0070,0.6957353444241849
TEST_0071,0.5326397510071014
TEST_0072,0.3925047522231541
TEST_0073,0.6622845128980666
TEST_0074,0.4390731699305778
TEST_0075,0.12476167788261516
TEST_0076,0.4400230031531865
TEST_0077,0.420033251244448
TEST_0078,0.860982824316276
TEST_0079,0.33980166059373795
TEST_0080,0.390489292132589
TEST_0081,0.15685746022581282
TEST_0082,0.4398850375159105
TEST_0083,0.35934412384283165
TEST_0084,0.43097694821950877
TEST_0085,0.4247819586155095
TEST_0086,0.3772706136644618
TEST_0087,1.0209193219726362
TEST_0088,0.210265549274696
TEST_0089,0.6885331117802576
TEST_0090,0.6073554176469237
TEST_0091,0.6859669534979902
TEST_0092,0.8673197347231759
TEST_0093,0.14106944170079258
TEST_0094,0.5550169218514912
TEST_0095,0.40126793159988716
TEST_0096,0.6159293076755391
TEST_0097,0.79572824452967
TEST_0098,0.045956233357607616
TEST_0099,0.6359785748085842
TEST_0100,0.5776887388464544
TEST_0101,0.5088245116203763
TEST_0102,0.7156381384030063
TEST_0103,0.732774768467139
TEST_0104,0.41883961789683627
TEST_0105,0.7592554596724281
TEST_0106,0.5143852843125404
TEST_0107,0.4126290448462607
TEST_0108,0.6404238221526248
TEST_0109,0.44088911643613865
TEST_0110,0.6259869565411719
TEST_0111,0.482230523694035
TEST_0112,0.40943997601108495
TEST_0113,0.5894106736353809
TEST_0114,0.5770933161379684
TEST_0115,0.37709422127836495
TEST_0116,0.44187591845841234
TEST_0117,0.3179360103316933
TEST_0118,0.8638004728165916
TEST_0119,0.6687657867484984
TEST_0120,0.5805678066494483
TEST_0121,0.450559825861007
TEST_0122,0.4243180989139247
TEST_0123,0.3656918710956466
TEST_0124,0.3879032020097046
TEST_0125,0.8551830379072687
TEST_0126,0.6580039796221124
TEST_0127,0.43314141076827994
TEST_0128,0.5507428362324849
TEST_0129,0.5488449120558719
TEST_0130,0.6326107852114848
TEST_0131,0.5623236765569093
TEST_0132,0.8907900918707186
TEST_0133,0.4754709725629161
TEST_0134,0.6225739347034956
TEST_0135,0.5597617306652402
TEST_0136,0.3079302113890655
TEST_0137,0.8635469783779837
TEST_0138,0.15403506759657282
TEST_0139,0.06993317222087783
TEST_0140,0.4558391257726376
TEST_0141,0.6899725025480042
TEST_0142,0.6267862170380983
TEST_0143,0.5460188344745329
TEST_0144,0.457604474843043
TEST_0145,0.6878144238086048
TEST_0146,0.6459819496313686
TEST_0147,0.28821876157213855
TEST_0148,0.16994909930388544
TEST_0149,0.7207707304749764
TEST_0150,0.2824510259967708
TEST_0151,0.503282629677941
TEST_0152,0.52350285584187
TEST_0153,0.10088796606718713
TEST_0154,0.5644567701171644
TEST_0155,0.4818937616644139
TEST_0156,0.38360006209457
TEST_0157,0.816716340095142
TEST_0158,0.4723762937510204
TEST_0159,0.4393182453609973
TEST_0160,0.33581597366974353
TEST_0161,0.08632143672789462
TEST_0162,0.5542703041281776
TEST_0163,0.7488419064422105
TEST_0164,0.6322188217919774
TEST_0165,0.6535817726142564
TEST_0166,0.41309706675678737
TEST_0167,0.67796740679157
TEST_0168,0.25209942229136106
TEST_0169,0.3548647363555528
TEST_0170,0.5713079176709751
TEST_0171,0.9011560717196848
TEST_0172,0.3373014294508597
TEST_0173,0.8710843790940964
TEST_0174,0.3969191197535714
TEST_0175,0.5114247772670144
TEST_0176,0.5339496783303976
TEST_0177,0.6157668537192826
TEST_0178,0.37603885080350896
TEST_0179,0.8149442307396393
TEST_0180,0.14140298883175112
TEST_0181,0.5485921669696276
TEST_0182,0.4121078736992635
TEST_0183,0.44316352458562047
TEST_0184,0.6381018069139558
TEST_0185,0.025635617316955964
TEST_0186,0.7267774086072026
TEST_0187,0.160712297888219
TEST_0188,0.48879816475632876
TEST_0189,0.29354152520940435
TEST_0190,0.33715607925378127
TEST_0191,0.27296587127081157
TEST_0192,0.45525276731074826
TEST_0193,0.3349054013873062
TEST_0194,0.46099126847121835
TEST_0195,0.24178878051494743
TEST_0196,0.2700182064247346
TEST_0197,0.4587358264126267
TEST_0198,0.7351889109379078
TEST_0199,0.5292572507472839
